,capacity,x,y
74,22.0,7.8579502,58.0777473
75,22.0,7.8579502,58.0777473
76,22.0,7.8579502,58.0777473
77,22.0,7.8579502,58.0777473
78,50.0,7.5358486,58.0672112
79,50.0,7.5358486,58.0672112
80,150.0,7.5358486,58.0672112
81,150.0,7.5358486,58.0672112
82,150.0,7.5358486,58.0672112
83,150.0,7.5358486,58.0672112
84,150.0,7.5358486,58.0672112
85,150.0,7.5358486,58.0672112
86,50.0,7.5358486,58.0672112
87,150.0,7.5358486,58.0672112
88,50.0,7.5358486,58.0672112
89,150.0,7.5358486,58.0672112
90,150.0,7.5358486,58.0672112
91,150.0,7.5358486,58.0672112
92,150.0,7.5358486,58.0672112
93,150.0,7.5358486,58.0672112
94,150.0,7.5358486,58.0672112
95,150.0,7.5358486,58.0672112
96,150.0,7.5358486,58.0672112
97,150.0,7.5358486,58.0672112
98,22.0,7.536428,58.0680618
99,22.0,7.536428,58.0680618
100,22.0,7.536428,58.0680618
101,22.0,7.536428,58.0680618
102,22.0,7.536428,58.0680618
103,22.0,7.536428,58.0680618
104,22.0,7.536428,58.0680618
105,22.0,7.536428,58.0680618
106,22.0,7.536428,58.0680618
107,22.0,7.536428,58.0680618
108,22.0,7.536428,58.0680618
109,22.0,7.536428,58.0680618
110,22.0,7.536428,58.0680618
111,22.0,7.536428,58.0680618
112,22.0,7.536428,58.0680618
113,22.0,7.536428,58.0680618
114,22.0,7.536428,58.0680618
115,22.0,7.536428,58.0680618
116,22.0,7.536428,58.0680618
117,22.0,7.536428,58.0680618
118,22.0,7.536428,58.0680618
119,22.0,7.536428,58.0680618
120,22.0,7.536428,58.0680618
121,22.0,7.536428,58.0680618
122,22.0,7.536428,58.0680618
123,22.0,7.536428,58.0680618
124,22.0,7.536428,58.0680618
125,22.0,7.536428,58.0680618
126,22.0,7.536428,58.0680618
127,22.0,7.536428,58.0680618
128,7.4,7.1389198,58.0470009
129,7.4,7.1389198,58.0470009
130,7.4,7.1389198,58.0470009
131,7.4,7.1389198,58.0470009
132,7.4,7.1389198,58.0470009
133,7.4,7.1389198,58.0470009
134,7.4,7.1389198,58.0470009
135,7.4,7.1389198,58.0470009
136,7.4,7.1389198,58.0470009
137,7.4,7.1389198,58.0470009
138,43.0,7.8097181,58.0956612
139,43.0,7.8097181,58.0956612
140,43.0,7.8097181,58.0956612
141,43.0,7.8097181,58.0956612
142,43.0,7.8097181,58.0956612
143,43.0,7.8097181,58.0956612
144,43.0,7.8097181,58.0956612
145,43.0,7.8097181,58.0956612
146,43.0,7.8097181,58.0956612
147,43.0,7.8097181,58.0956612
148,43.0,7.8097181,58.0956612
149,43.0,7.8097181,58.0956612
150,43.0,7.8097181,58.0956612
151,43.0,7.8097181,58.0956612
152,43.0,7.8097181,58.0956612
153,7.4,7.9749799,58.1062012
154,7.4,7.9749799,58.1062012
155,7.4,7.9749799,58.1062012
156,7.4,7.9749799,58.1062012
157,7.4,7.9749799,58.1062012
158,7.4,7.9749799,58.1062012
159,7.4,7.9749799,58.1062012
160,7.4,7.9749799,58.1062012
161,3.6,7.8157701,58.0984688
162,43.0,7.8161602,58.0985184
163,43.0,7.8161602,58.0985184
164,50.0,7.8161602,58.0985184
165,50.0,7.8161602,58.0985184
166,50.0,7.8161602,58.0985184
167,50.0,7.8161602,58.0985184
168,3.6,7.8122101,58.0985718
169,3.6,7.8122101,58.0985718
170,3.6,7.8122101,58.0985718
171,3.6,7.8122101,58.0985718
172,50.0,7.3076019,58.0787239
173,50.0,7.3076019,58.0787239
174,22.0,7.3076019,58.0787239
175,22.0,7.3115101,58.0794792
176,22.0,7.3115101,58.0794792
177,22.0,7.3115101,58.0794792
178,22.0,7.3115101,58.0794792
179,22.0,7.3115101,58.0794792
180,22.0,7.3115101,58.0794792
181,22.0,7.3014498,58.0843201
182,22.0,7.3014498,58.0843201
183,22.0,7.3014498,58.0843201
184,22.0,7.3014498,58.0843201
185,22.0,7.3014498,58.0843201
186,22.0,7.3014498,58.0843201
187,22.0,7.3014498,58.0843201
188,22.0,7.3014498,58.0843201
189,22.0,7.3014498,58.0843201
190,22.0,7.3014498,58.0843201
191,3.6,7.3048401,58.0853882
192,3.6,7.3048401,58.0853882
193,3.6,7.3048401,58.0853882
194,3.6,7.3048401,58.0853882
195,3.6,7.3048401,58.0853882
196,3.6,7.3048401,58.0853882
197,3.6,7.3048401,58.0853882
198,3.6,7.3048401,58.0853882
199,3.6,7.3048401,58.0853882
200,3.6,7.3048401,58.0853882
201,22.0,7.9688001,58.1246185
202,22.0,7.9688001,58.1246185
203,22.0,7.9538898,58.1240883
204,22.0,7.9538898,58.1240883
205,50.0,7.9539599,58.1241493
206,50.0,7.9539599,58.1241493
207,50.0,7.9539599,58.1241493
208,50.0,7.9539599,58.1241493
209,50.0,7.9539599,58.1241493
210,50.0,7.9539599,58.1241493
211,150.0,7.9637599,58.1253815
212,50.0,7.9637599,58.1253815
213,150.0,7.9637599,58.1253815
214,150.0,7.9637599,58.1253815
215,50.0,7.9637599,58.1253815
216,50.0,7.9637599,58.1253815
217,150.0,7.9637599,58.1253815
218,50.0,7.9637599,58.1253815
219,7.4,7.9550581,58.125576
220,7.4,7.9550581,58.125576
221,7.4,7.9550581,58.125576
222,7.4,7.9550581,58.125576
223,7.4,7.9550581,58.125576
224,7.4,7.9550581,58.125576
225,3.6,8.0750704,58.1341591
226,3.6,8.0750704,58.1341591
227,11.0,7.998744,58.138855
228,11.0,7.998744,58.138855
229,11.0,7.998744,58.138855
230,11.0,7.998744,58.138855
231,11.0,7.998744,58.138855
232,11.0,7.998744,58.138855
233,11.0,7.998744,58.138855
234,11.0,7.998744,58.138855
235,11.0,7.998744,58.138855
236,11.0,7.998744,58.138855
237,20.0,7.9987931,58.1390572
238,22.0,7.9987931,58.1390572
239,22.0,7.9987931,58.1390572
240,20.0,7.9987931,58.1390572
241,22.0,7.9987931,58.1390572
242,20.0,7.9987931,58.1390572
243,20.0,7.9987931,58.1390572
244,20.0,7.9987931,58.1390572
245,20.0,7.9987931,58.1390572
246,20.0,7.9987931,58.1390572
247,20.0,7.9987931,58.1390572
248,20.0,7.9987931,58.1390572
249,22.0,7.9987931,58.1390572
250,20.0,7.9987931,58.1390572
251,22.0,7.9987931,58.1390572
252,20.0,7.9987931,58.1390572
253,20.0,7.9987931,58.1390572
254,22.0,7.93577,58.1371689
255,22.0,7.93577,58.1371689
256,22.0,7.93577,58.1371689
257,22.0,7.93577,58.1371689
258,11.0,7.9350495,58.1388054
259,11.0,7.9350495,58.1388054
260,11.0,7.9350495,58.1388054
261,11.0,7.9350495,58.1388054
262,43.0,7.9423251,58.1392708
263,43.0,7.9423251,58.1392708
264,43.0,7.9423251,58.1392708
265,43.0,7.9423251,58.1392708
266,22.0,7.9423251,58.1392708
267,43.0,7.9423251,58.1392708
268,43.0,7.9423251,58.1392708
269,22.0,7.9423251,58.1392708
270,43.0,7.9423251,58.1392708
271,43.0,7.9423251,58.1392708
272,43.0,7.9423251,58.1392708
273,43.0,7.9423251,58.1392708
274,11.0,7.995574,58.1424675
275,11.0,7.995574,58.1424675
276,11.0,7.995574,58.1424675
277,11.0,7.995574,58.1424675
278,11.0,7.995574,58.1424675
279,11.0,7.995574,58.1424675
280,50.0,7.8567729,58.1353226
281,50.0,7.8567729,58.1353226
282,22.0,7.8567729,58.1353226
283,22.0,7.8567729,58.1353226
284,50.0,7.8567729,58.1353226
285,50.0,7.8567729,58.1353226
286,22.0,8.0008039,58.1434174
287,22.0,8.0008039,58.1434174
288,22.0,8.0008039,58.1434174
289,22.0,8.0008039,58.1434174
290,22.0,8.0008039,58.1434174
291,22.0,8.0008039,58.1434174
292,7.4,6.9657302,58.0823708
293,7.4,6.9657302,58.0823708
294,22.0,7.9953599,58.1449013
295,22.0,7.9953599,58.1449013
296,3.6,7.99195,58.1449089
297,3.6,7.99195,58.1449089
298,22.0,7.9886909,58.1452332
299,22.0,7.9886909,58.1452332
300,22.0,7.9886909,58.1452332
301,100.0,7.9886909,58.1452332
302,22.0,7.9886909,58.1452332
303,22.0,7.9886909,58.1452332
304,22.0,7.9886909,58.1452332
305,22.0,7.9886909,58.1452332
306,100.0,7.9886909,58.1452332
307,50.0,7.9886909,58.1452332
308,22.0,7.9886909,58.1452332
309,22.0,7.9886909,58.1452332
310,22.0,7.9886909,58.1452332
311,50.0,7.9886909,58.1452332
312,43.0,8.0058146,58.1473923
313,43.0,8.0058146,58.1473923
314,22.0,8.0058298,58.1474304
315,22.0,8.0058298,58.1474304
316,3.6,7.9965868,58.1474304
317,3.6,7.9965868,58.1474304
